Company,Address,TIFDistrict,CompletionDate,ActualCosts,ActualGrant,WorkItems
Royal Envelope Corporation,4114 S. Peoria St.,Stockyard Annex,02/09/2015,85280.00,42640.00,furnish and install fifteen (15) new window systems
CG Realty Group Ltd.,1926-8 W. Irving Park Rd.,Western Avenue (South),02/10/2015,134400.00,100000.00,"demolish rear storage shed at north-east corner of property; demolish and replace concrete parking lot at rear; remove and replace rooftop HVAC unit; masonry repairs to the exterior (grinding, tuck pointing of parapet, remove damaged lintels and replace, repair damaged brick at west and north elevations; power washing and general tuck pointing); new roofing system; remove old storefront system and door and replace with a new storefront system and door; new windows; new interior doors, casings, and baseboards; new cabinets and counters; new staircase from parking lot to second floor; new tile for entries, bathroom, and kitchen; new kitchen sink and faucet; new hardwood flooring and carpet; painting; and permanent security system items"
"Star-Tech Glass, Inc. ",1835 N. Major Ave.,Galewood/Armitage,02/10/2015,293600.00,146800.00,"a complete tear off of flat roof, repairs to decking, new insulation, installation of new TPO roofing system, new flashings, and new metal copings at parapet walls"
Garcia Auto Service,4055 W. Armitage Ave.,Armitage/Pulaski,02/13/2015,69940.00,50025.00,"facade renovation, windows, doors, office build-out, "
Kim and Larry's Unisex Salon,3835 W. Cermak Rd.,Ogden/Pulaski,02/13/2015,85000.00,44031.75,"replacement of basement beam, repair the structural beam supporting the front façade, roof replacement, tuck-pointing installation of new asphalt for parking, installing framing for bathroom, new windows, rough plumbing and rough electrical systems. "
"HT Central Development, LLC",1840 N. Central Ave.,Galewood/Armitage,02/17/2015,256975.00,64243.75,"tear off and re-roofing of industrial warehouse facility, new insulation, new GAF 60 mil white TPO singly ply roofing system, and all new flashings at parapet walls and HVAC units"
"Independent Living Solutions, Inc.",6327 N. Pulaski Rd.,Peterson/Pulaski,02/19/2015,131617.00,96743.63,"roofing; masonry repairs to parapet wall; removal and replacement of 20 windows on upper perimeter; removal and replacement of storefront windows; paving for parking lot; HVAC; insulation and drywall, painting, and epoxy flooring for shop area; front office build out (framing, drywall, painting, and electrical); T8 lighting; vinyl flooring; acoustical ceiling; and architectural and permit expenses"
"Microlution, Inc.",6635 W. Irving Park Rd.,West Irving Park,02/19/2015,21892.72,10841.36,removal of four (4) existing single pane glass windows on front façade and replacement with new insulated and tempered glass units; removal and replacement of one 5 ton 3 phase rooftop unit and one 10 ton 3 phase rooftop unit
House of Styles ,4750 W. Madison ,Madison/Austin,03/02/2015,10000.00,7500.00,installation of new drywall and new flooring
"Pelar Construction, Inc.",9921-31 S. Wood Street,Western/Rock Island,03/03/2015,145478.27,100000.00,"façade repair and improvement, new storefront systems, masonry repairs and tuck pointing, roofing, removal and replacement of stairs and decks"
Boulevard Veterinary LLC,2740 W. Armitage Ave,Fullerton/Milwaukee,03/04/2015,170832.00,100000.00,"new framing, installation of gypsum board, installation of insulation, rough and finish carpentry, and installation of building systems (HVAC, electrical and plumbing)"
"Inner City Youth and Adult Foundation, Inc.",4500 S. Michigan Ave.,47th/King,03/04/2015,31000.00,17822.72,roofing work at 4500 S. Michigan
"Sip and Savor Bronzeville, Inc.",528 E. 43rd St.,43rd/Cottage Grove,03/04/2015,5396.07,4047.05,new pin-mounted signage
"Marcat, Inc. dba Anmar Foods",2142-50 W. Carroll Ave.,Kinzie Industrial Corridor,03/04/2015,66787.94,33393.97,replace HVAC compressor for walk-in freezer; repairs to epoxy flooring systems (includes berm in loading dock area and ramping in freezer area); balance of expenses connected to replacement of hydraulic leveler in loading dock area
"Bam Auto House, Inc. / Peeple Trans Cab, Inc.",151 N. Cicero Ave.,Madison/Austin,03/05/2015,33850.00,10892.50,install new commercial overhead lights
Business Link International Medical Supply,7737 S. Western Ave.,Greater Southwest Industrial Corridor (East),03/13/2015,14920.00,11190.00,"removal of old storefront system and installation of new thermal aluminum storefront frame with three (3) new doors including standard hardware (handles, locks, etc.), new 1"" clear insulated glass for doors and windows and glazing"
"Elgin Sweeping Services, Inc. ",1015 W. Pershing Rd. ,Stockyard Annex,03/25/2015,265682.50,119808.15,paving
"El Rey USA Meats & Seafood, Inc. ",2101 W. 74th Street ,Greater Southwest Industrial Corridor (East),03/27/2015,176643.38,88321.69,"Structural steel, steel framing, concrete slabs, foundation walls, and footings, roofing, gutters, rough HVAC ducts, and rough plumbing.  "
"Cosmopolitan Continental Cafe, Inc. dba Lutnia Restaurant",5532 W. Belmont Ave.,Belmont/Central,03/27/2015,25000.00,18750.00,demolish old roof and replace with a new roof
"Laughing Mustache, LLC dba Logan Parlor",3251 W. Fullerton Ave.,Fullerton/Milwaukee,03/27/2015,13805.00,10353.75,install new electrical track for lighting; install new lighting; install permanent circulation fans; install new electrical outlet and fixtures; install 30 circuit 100 amp electrical panel; install two (2) new 120 volt/20 amp circuits for hair station areas and additional circuits in waxing and reception areas; install twenty-four (24) track heads and LED lamps; replace exit signage; labor for installation of 100 square feet of tile; install single wall duct; install one (1) wall vent with damper
"Essential Elements - Chicago, LTD.",1640 E. 87th St.,Stony Island/Burnside,03/30/2015,24086.75,14293.50,"installation of a new LED back-lit channel letter sign including electrical supply for sign, and installation of a new awning; additional expenses included installation of an electrical rolling shutter security system on storefront (ineligible for SBIF funds). "
"Smart Choice Apparel, Inc.",3937 W. Madison St.,Madison/Austin,03/31/2015,65753.19,48548.25,"exterior renovations including replacement of the storefront system with a new frame, windows, doors, and entryway; interior renovations including carpentry and framing work, new walls in retail area, new suspended ceiling system and ceiling tiles, new LED light fixtures, renovation of restroom with new plumbing fixtures, new rooftop HVAC unit and ductwork, remove and replace carpeting, new interior doors and hardware in storage area, painting and finishing, and permit expenses"
"GK Tops and Bottoms, Inc.",3940 W. Madison St.,Madison/Austin,04/02/2015,125000.00,93750.00,"removal of old signage; masonry repairs on façade behind signage and on parapet walls, tuckpointing as needed; new flashings at parapert walls; replacement of rooftop HVAC unit and new ductwork in retail area; installation of new channel letter signage and panel; removal and replacement of drywall in retail area; restoration and repairs to hardwood floors; electrical work and installation of new light fixtures; painting and finishing"
"DLV Printing Service, Inc.",5825 W. Corcoran Pl.,Madison/Austin,04/02/2015,35000.00,3437.50,"adding new 400 AMP electrical service to the property with a new panel, and rough (conduit and wiring) and finish (outlets, switches, light fixtures) electrical work"
LVJ Cafe Corporation dba Lula Cafe,2537-43 N. Kedzie Blvd.,Fullerton/Milwaukee,04/03/2015,62578.17,43892.48,"demolition of walls and floors and selected demolition in basement area; labor and materials for structural reinforcement work to floor joist in kitchen area including work to footings, columns, and I-beam; carpentry to frame wall to end of hood; install cement board tile backer in kitchen space; and install cove base and tile for kitchen"
"R.C. Industries, Inc.",1420 N. Lamon Ave.,North/Cicero,04/07/2015,25948.56,12974.28,"provide a new industrial-grade boiler system including burner, cast iron heat exchanger, and control systems; and installation of industrial-grade boiler system including all plumbing, gas connections, electrical supply, and tie-in to existing flue penetrations"
"Lakeshore Audiovisual, Inc.","3912 W. McLean Ave., Building D",Pulaski Corridor,04/08/2015,136560.00,68280.00,"installation of new epoxy flooring system across 22,300 SF of warehouse space including repairs to and smoothing of concrete, primer coating, vapor barrier, epoxy base and top coat, and urethane wearcoat for sealing; priming, patching and painting south warehouse walls, ceiling, and pipes including sealant for water damage protection"
"Duran Concrete, Inc. ",1839 N. Long Ave. ,Galewood/Armitage,04/09/2015,196654.80,100000.00,"lighting, plumbing, parking lot, brick, asbestos abatement, windows, carpentry."
E&J Foreign Cars Ltd.,4241-5 N. Western Ave.,Western Avenue (South),04/10/2015,14614.53,10960.90,new shed style awnings and associated permit expenses; new fencing; parking lot improvements (demolish old concrete; regrade and install new stone base; paving and steamrolling)
"La Fontanella Restaurant, Inc. dba Bacchanalia Restaurant",2413 S. Oakley Ave.,Pilsen Industrial Corridor,04/14/2015,34745.00,26058.75,"new insulation behind front façade and all necessary interior drywall, furnish and install new face brick and limestone for façade, provide new steel columns and base plate for window system, provide new storefront system including entry door with transom and new windows, remove and install front sidewalk section in conjunction with facade work, roofing repairs as necessary, provide insulation in basement room, provide wood beam in basement ceiling for support of new façade structure"
Estee Bedding Company,945 E. 93rd St.,Stony Island/Burnside,04/16/2015,114785.00,57392.50,"furnish and install seventeen (17) new infrared heaters and associated valves, thermostats, and piping work; and remove existing windows and replace with glass block windows"
Cole's Appliance & Furniture Co. ,4026 N. Lincoln Ave. ,Western Avenue (South),04/21/2015,140000.00,100000.00,"exterior masonry, tuck-pointing, caulking, water proofing, pressure washing, overhead garage door, HVAC system, electrical repairs, lighting, removal of plywood, drywall, and plaster leaving existing roof and floor joists exposed, install partition walls, doors and painting"
"It Takes a Village Christian Academy, Inc.",9011-5 S. Cottage Grove Ave,87th/Cottage Grove,04/22/2015,17539.00,13154.25,install new windows including plexiglass covers; electrical improvements (new 100 amp circuit breaker panel; new outlets and circuits in kitchen; light fixtures); new range hood; and a new front door
"Gold Leaf Design Group, Inc. ",1300 S. Kostner Ave.,Roosevelt/Cicero,04/23/2015,34895.00,17447.50,install interior-mounted scissors gate; construction of a new bathroom facility
"USMe, LLC / Western Fulton Holding Company, LLC",321 - 353 N. Artesian,Kinzie Industrial Corridor,04/24/2015,250000.00,125000.00,"tear off of top roof layer, mechanically fasten new insulation system, apply a 60 mil TPO roofing membrane with new flashings, remove and replace twenty-six (26) skylights, remove fourteen (14) defunct exhaust fans and replace with fourteen (14) new skylights within existing curbs, remove and cap obsolete rooftop equipment and protrusions"
Midwest Fence Corporation,3233 W. Grand Ave.,Division/Homan,04/24/2015,166955.00,48450.00,"completion of re-roofing project of east, west and southeast building sections including new drains and flashings at parapet walls, new skylight curbs and windows, new gutters and downspouts, repairs to truss system of barrel roof, masonry repairs to parapet walls, and dismantlement of protrusions and associated patching work"
Business Link International Medical Supply,7737 S. Western Ave.,Greater Southwest Industrial Corridor (East),04/24/2015,80700.00,55057.50,"roofing repairs including repairs to decking, new insulation, new flashings, new membrane, framing and new door for roof access, painting, masonry repairs to chimney and parapet walls, repairs to copings as needed; masonry repairs and tuckpointing on west, south, and east elevations including lintel replacements, new weep ropes, install new and replace glass block windows, new door frame and commercial metal door in masonry wall, limestone replacement and brick in windows in the rear, new gutters and downspouts; soffit repairs and electrical work related to newly installed storefront system"
Just Fit Shoes,235 E. 35th St.,Bronzeville,04/28/2015,145445.00,100000.00,"tuck pointing of west and south elevations; roofing repairs; new gutters and downspouts; Design Guideline compliant façade improvements (remove and replace existing storefront system and door, masonry repairs, and restore and replace existing cast iron structural elements), channel cut letter signage; permit and architectural expenses; selective demolition of first floor interior; millwork for permanent counter and display stage area; electrical work (relocation of existing light fixtures and recircuiting and installation of new LED lighting); painting, limited HVAC grill relocation"
"Talking Wireless, Inc.",3701 W. Cermak Rd.,Ogden/Pulaski,04/28/2015,11700.00,8775.00,interior rolling shutters
"Martin's Mini Market, Inc.",3801 N. Cicero Ave. ,Portage Park,04/30/2015,137303.00,100000.00,"carpentry, new bathroom in basement, plumbing, framing, drywall, sinks, grease trap, sump pump, HVAC system, electrical work, walk in cooler, flooring, lighting, windows, roofing to include metal structures to support compressor and concrete work"
"Lickity Split FC&S2, LLC dba Lickity Split Frozen Custard",7000 N. Western Ave. ,Touhy/Western,04/30/2015,59031.65,22000.00,"carpentry work, new doors, replacement of storefront glass, remove old signage and install new awning, cabinetry, countertops, new drywall, flooring, tile, installation of plumbing and electrical fixtures, new ductwork, kitchen exhaust hood, painting and finishing"
"Liberty Hardware Enterprise, Inc.",2534-8 E. 79th St.,Avalon Park/South Shore,05/06/2015,35886.38,26914.79,new storefront systems for 2534 and 2538 E. 79th St.
"Burgundy Restaurant, Inc.",5959 W. Irving Park Rd. / 3943 N. Austin Ave.,West Irving Park,05/18/2015,5800.00,3030.33,replace old furnace in tenant beauty salon at 3943 N. Austin with a new furnace
"WTF Reserve, LLC",415 N. Sangamon St.,Kinzie Industrial Corridor,05/27/2015,12000.00,9000.00,façade repair work at and below grade (remove concrete; repair walls with re-used brick when applicable; repair concrete when applicable; restore mortar joints and tuck pointing; replace damaged brick with common bricks; install drainage pipe and trench)
Scott Conway,2745 W. Armitage Ave.,Fullerton/Milwaukee,05/27/2015,12350.00,9262.50,"power washing, grinding, and tuck pointing of north façade elevation; remove and replace window lintels; install limestone above 2nd floor window lintel; caulk exterior"
"C & O Auto Rebuilders, Inc.",10554 S. Michigan Ave.,Roseland/Michigan,05/28/2015,40500.00,30375.00,painting of north exterior wall; removal and replacement of ceiling panels inside work bay area; insulation installation in areas between roof joists; removal of interior walls and front glass windows in storefront entrance area; installation of new framing to reinforce existing support structure; installation of new bricks in front where windows were previously located; installation of new thermal double pane storefront windows; insallation of ADA-compliant accessibilty ramp at entrance
"The SMB Help Desk, Inc. ","4147 N. Ravenswood Ave., Ste. 100",Ravenswood Industrial Corridor ,05/28/2015,11912.73,8934.55,demolish old windows and install fourteen (14) replacement windows at 4147 N. Ravenswood #100
The Purple Dream Corp. dba Via Lima Restaurant ,4020-4 N. Lincoln Ave.,Western Avenue (South),05/28/2015,391863.80,33333.33,flooring; HVAC; plumbing work and fixtures; electrical work; light fixtures; concrete; roofing; insulation; drywall; and painting
"2755 West Harrison, LLC & Shiller Preyar Law Offices",2755-9 W. Harrison St. / 605-11 S. California Ave.,Western/Ogden,05/28/2015,206594.00,66666.66,"demolition work throughout building; framing and rough carpentry for new office space layout, subflooring and new ceiling joists; rough plumbing work for new restrooms; rough electrical related to new service and distribution; HVAC work; masonry work including new lintels, tuckpointing, and repairs to window openings; and purchase of materials for new windows"
Duwell Fish Inc. #2,617 S. Pulaski Rd.,Midwest,05/28/2015,22481.95,11359.84,"install new roofing (2nd story previously demolished), gutters and downspouts; electrical work including extension of existing electrical service, wiring, new outlets, and light fixtures for existing space and new restaurant take-out space; carpentry, framing and drywall for new restaurant space; new flooring (concrete subfloors done previously); new exterior windows and door; painting and finishing work"
"Pearl's Southern Comfort, Inc.",5352 N. Broadway,Bryn Mawr Broadway,05/28/2015,40343.00,22757.25,"finishing the new glass storefront system, front entry door and vestibule; limestone restoration and work on the front façade; and electrical work including completing the installation of a three phase, 400 AMP system with hook-ups to walk-in coolers located in basement and emergency exit lights"
His & Hers Barber and Beauty Salon,2102 S. Pulaski Rd.,Ogden/Pulaski,05/29/2015,59220.76,44415.57,"HVAC for commercial and basement areas (rooftop unit, economizer, ductwork, exhaust fans); electrical improvements in the commercial and basement areas; plumbing improvements in the commercial and basement areas; and plumbing materials"
"4038 N. Milwaukee Mgmt Group, LLC / Tao Entertainment, Inc. dba Community",4038 N. Milwaukee Ave.,Portage Park,06/01/2015,75000.00,33333.34,"the balance of renovations for the restaurant build-out at 4038 N. Milwaukee: demolition, structural reinforcements to flooring and support beams, rough carpentry, rough and finish electrical (including emergency lights and exit signs), rough and finish plumbing (includes adding water service), HVAC, kitchen hood and make up air unit, drywall, hardwood flooring, tile work, painting and staining, doors, moldings, trim work, bathroom fixtures, countertops, design guideline compliant facade masonry renovations, new storefront system"
"Gold Leaf Design Group, Inc. ",1300 S. Kostner Ave.,Roosevelt/Cicero,06/03/2015,50912.91,23496.83,masonry repairs to walls; rebuild parapet; new copings; new flashings; new garage door; install interior-mounted scissors gate; and architectural and permit expenses
About Face Theatre Collective,"5252 N. Broadway St., 2nd Floor",Lawrence/Broadway,06/08/2015,30456.50,22842.38,"demolition of existing restrooms, installation of new framing and drywall for two (2) new handicap accessible restrooms; rough electrical work including wiring and relocation of service panel; new rough plumbing connections and piping for two (2) restrooms and one (1) janitorial/service closet; architectural services and permit fees"
The Roscoe Company,3535 W. Harrison St.,Midwest,06/11/2015,134939.78,67469.89,"a lighting retrofit: dispose fluorescent light fixtures, ballasts, and lamps, and install new LED light fixtures, wires, junction boxes and receptacles throughout facility; HVAC improvements: replace two (2) furnace and two (2) air conditioning systems serving the administrative and offices portion of the property; and signage work: install new awning over front entry door (not over public way); fabricate and install new pan face sign with lexan panels for upper facade on north elevation; replace existing sign with new internally lit sign with lexan face panels for mid-facade on north elevation; relocate existing neon sign to east elevation and associated electrical work and repairs"
Master Care Health Center ,625 E. Pershing Rd. ,43rd/Cottage Grove,06/12/2015,54876.00,41157.00,"facade, windows, bathroom, ceiling tiles, doors, masonry, canopy, landscaping, roofing, plumbing, electrical, HVAC "
"Sardina, LLC dba Zaytune Grill",4322 N. Western Ave.,Western Avenue (South),06/16/2015,218966.47,66666.66,"a complete build out for a new restaurant including demolition work; exterior masonry work and new glass windows and frames on north and east elevations; new storefront system and glass vestibule at entry; masonry work on interior walls; rough carpentry work and new flooring system including new joists; concrete footings, piers and structural I-beams in basement for structural support; rough plumbing for sewer, water, and waste; build out of two restrooms; drywall throughout; new doors; HVAC work including kitchen exhaust hood; rough electrical work; and architectural services"
South Chicago Art Center NFP ,3026 E. 91st St. ,Commercial Avenue,06/17/2015,220194.90,65137.50,"tear off of roof, new decking, plywood, insulation, cover board, and a 60 mil TPO membrane system; mechanical HVAC work including installation of two (2) 7.5 ton RTUs and forced air ductwork system throughout the interior"
Porchlight Music Theatre,4200 W. Diversey Ave.,Pulaski Corridor,06/17/2015,30172.25,22511.75,the balance of HVAC and ductwork for front and rear dance rooms; insulation on south room; replace existing lighting with energy-efficient track lighting; permanent exterior landscaping; and electrical work for furnaces
"Star Distributors, Inc.",3500 N. Milwaukee Ave.,Avondale,06/18/2015,148653.00,74326.50,"general improvements to building exterior: remove existing rotted vinyl, plywood, soffit, and lights; replace damaged framing as necessary; new soffit, dividers, aluminum trim, and exterior lighting; and installation of a solar photovoltaic array"
La Michoacana Ice Cream Shop ,6610 S. Pulaski Rd.,63rd/Pulaski,06/19/2015,64312.25,48234.19,"demolition; removal of concrete for new rough underground plumbing and electrical; new framing and partitions; install rough plumbing, electrical, and mechanical HVAC systems; purchase new kitchen exhaust hood and rooftop condenser unit; architectural and engineering services, and permit fees"
"American Eagle Food Machinery, Inc.",3557-9 S. Halsted St.,35th/Halsted,06/23/2015,62123.90,31061.95,"replacement of twenty seven (27) existing windows with insulated and tempered windows, roofing work including decking, repairs as necessary new rubber roofing and flashings, masonry work including tuckpointing, parapet wall rebuild and infilling select window openings"
"AR & IR, Inc. dba Mambo Cafe",3336-44 N. Milwaukee Ave.,Avondale,07/01/2015,85788.00,42310.00,new roofing system; new exterior doors; permits
"Gold Leaf Design Group, Inc. ",1300 S. Kostner Ave.,Roosevelt/Cicero,07/02/2015,6953.76,3476.88,new shed awning
"Alulu, LLC ",2011 S. Laflin St.,Pilsen Industrial Corridor,07/02/2015,112447.40,66666.66,"interior demolition, shore up interior stairwell from basement and re-build to extend the stairwell to second floor; rough carpentry and framing work for 2-floor restaurant/micro-brewery including kitchen, restrooms, and brew room; rough plumbing work including new water, waste, and vent piping, new waste stack, and new gas pipe; HVAC work including install two (2) rooftop air conditioning units and ductwork; electrical work including new 200 AMP single phase service with panel, and new rough electrical; and masonry work including new brick for eastern wall and brick and glass block infill for existing window openings in rear of building"
"A-Korn Roller, Inc.",3600 S. Morgan St.,35th/Halsted,09/30/2015,43040.00,21520.00,"complete roofing replacement for two (2) sections of roof at 3600 S. Morgan: demolition; install new insulation; install recovery board, TPO roofing membrane, and flashings; and install urethane sealant; and install new gutters and downspouts"
"HTNB, LLC dba Vision Boutique",1224 N. Wells St,Near North,07/02/2015,193833.96,25000.00,"concrete work including trenching for underground plumbing; rough and finish carpentry and framing for office space and restrooms, new insulation and drywall, new doors and hardware, and new acoustical ceiling grid and tiles; HVAC system including ductwork and vents; rough plumbing work and fixtures for hot water and restrooms; rough electrical work including conduit and wiring; painting and finishing"
"Links Hall, Inc.",3111 N. Western Ave.,Addison Corridor (South),07/14/2015,61085.00,43350.00,"masonry repairs on front elevation including replacement of outer wythes of face brick along parapet walls down to window lintels with like materials; replacement of five (5) steel lintels; tuckpointing work; refurbish and reinstall limestone capstones along front elevation roofline; install new flashings for parapet walls; and masonry repairs to rear (east and south) elevations including replacement of face brick as needed, replacement of one (1) steel lintel, and tuckpointing work"
Estee Bedding Company,945 E. 93rd St.,Stony Island/Burnside,07/16/2015,75711.00,37855.50,"restoration of skylights (remove existing wire glass and clean framing; install new flashings, ridge caps, gable end covers, and polycarbonate panels; caulking and sealing)"
Rudy's Cyclery Inc ,5711 W. Irving Park Rd.,West Irving Park,07/17/2015,9600.00,7200.00,"furnish and install a new storefront system (frames, glass, and door) for 5711 W. Irving Park"
"Jimena's, Inc. dba Monica's Pizza / Rafa's Chicken, Inc.",4410 W. 63rd St.,63rd/Pulaski,07/20/2015,104716.00,33333.34,"the balance of the construction: demolition; foundation work, new concrete slab; concrete block exterior walls and brick front wall and limestone seal; steel I-beams; framing, walls, rafters, and roof decking; insulation; drywall; rough plumbing; HVAC; rough plumbing; new gutters; and roofing"
Rogelio Llamedo,3717 W. Armitage Ave. ,Fullerton/Milwaukee,07/21/2015,31359.00,23519.25,"Installation of commercial storefront, tuck-pointing, electrical upgrade, new meter and panel box, lighting and roofing. "
"RGB Lights, Inc.",6045 N. Keystone Ave.,Peterson/Pulaski,07/23/2015,349070.00,150000.00,"interior demolition (partitions, masonry, flooring ,ceilings, building systems demolition); carpentry for new ceilings, drywall, and doors; new storefront windows, frames, and door for vestibule area; install new office windows; new warehouse windows; masonry repairs to north elevation (patching and tuck pointing with replacement of bricks when needed); install interior CMU walls and tile; painting in warehouse and office; install ADA-compliant men's and women's restrooms; install new fixtures in existing restrooms; new electrical service panels, conduits, and wiring; install new energy-efficient lighting and outlets"
"Marcat, Inc. dba Anmar Foods",2142-50 W. Carroll Ave.,Kinzie Industrial Corridor,07/27/2015,32468.60,16234.30,"balance of repairs to epoxy flooring systems in office and plant areas and parking lot improvements (asphalt, concrete, sealcoating, striping)"
Filament Theatre Ensemble NFP ,4041 N. Milwaukee Ave. ,Irving/Cicero,08/04/2015,79102.81,50000.00,"installation of flooring, drywall, lighting grids, and doors, wall framing, carpentry, plumbing including the installation of sinks and drinking fountains, electrical work including the installation of grid receptacles and wiring for air conditioner, and HVAC system with two furnaces, exhaust fan with ductwork and electric duct heater. "
Vernon Spells & Latoya Hudson-Spells,8236 S. Cottage Grove Ave.,87th/Cottage Grove,08/04/2015,157275.52,100000.00,"a complete tear off of the roof and complete re-roofing; installation of gutters, down spouts, insulation and coping tiles; replacement of concrete apron at front entrance; replacement of transom glass above front entry doors; tuck-pointing; painting of steel lintels and front entrance; wall framing; installation of drywall, doors, and acoustical ceiling; 200 amp electrical system including lighting; HVAC system and ductwork; build-out of three bathrooms, rough and finish plumbing"
Parkside Industries Corporation,3692 N. Milwaukee Ave.,Portage Park,08/04/2015,16000.00,8000.00,"replace two (2) doorway lintels at northeast elevation including flashings, end dams, weep ropes, and in-kind brick replacement if required; removal of lintel above infilled window at northeast elevation and reset masonry with in-kind brick replacement if required; grinding, tuck pointing, and staining of bricks at facade; remove and replace infill brick at entry"
Chicago Paper Tube & Can Co.,4221 N. Normandy Ave.,Read/Dunning,08/04/2015,47670.00,23835.00,remove existing sealants from exterior joints on building; install new foam backer rod; recaulk all exterior joints between concerete panels on entire exterior; painting of the building exterior
"The Miracle Center, Inc.",2311 N. Pulaski Rd.,Pulaski Corridor,08/11/2015,108883.40,80784.00,"windows, roofing, framing, drywall, HVAC, electrical, bathroom renovations, doors. "
Chicagoland Beverage Company,2042-56 W. Walnut St.,Kinzie Industrial Corridor,08/12/2015,28276.25,14138.13,"masonry, tuck-pointing, replace copings, exterior caulking and application of sealants, HVAC system, condenser, asphalt paving, concrete curbs, removal of concrete platform and ramp, and excavate and remove fill material to grade level."
"Antiques on Old Plank Road, Inc.",1736-56 N. Springfield Ave.,Pulaski Corridor,08/13/2015,165475.00,79794.00,new roof for 1750 N. Springfield: demolition; fasten existing decking; install new insulation and granulated bitumen roofing membrane including all needed flashings; repair existing drainage; install gutters and downspouts; reinstall clay copings with replacement of copings if needed; permit expenses; materials expenses
"El Rey USA Meats & Seafood, Inc. ",2101 W. 74th St. ,Greater Southwest Industrial Corridor (East),08/14/2015,110167.00,50723.50,"Concrete slabs, steel framing, HVAC, electrical and plumbing. "
"Onyx Distribution & Services, LLC",2444 W. 16th St. #4R,Western/Ogden,08/24/2015,135415.00,67707.50,"demolition; construct two (2) new openings in masonry wall; furnish and install drywall partitions; wood jambs, stops, and glass for new conference room window; furnish and install doors, frames, and hardware per plans; painting of door frames and partition walls; repairs to wood flooring; HVAC improvements (furnish and install two (2) energy efficient gas furnaces and two (2) exhaust fans; furnish and install new duct work per plans and alterations to existing duct work; install new diffusers and registers); and electrical improvements (furnish and install energy efficient fluorescent lighting and switches; furnish and install all needed power distribution branch piping, wiring, and receptacles; wiring for HVAC improvements); architectural services"
"Sardina, LLC dba Zaytune Grill",4322 N. Western Ave.,Western Avenue (South),08/26/2015,79000.00,33333.34,"the balance of construction work for a complete build out for a new restaurant: exterior masonry work and new glass windows and frames on north and east elevations; new storefront system and glass vestibule at entry; masonry work on interior walls; rough and finish carpentry work and new flooring (epoxy and tile finishes) including new joists; concrete footings, piers and structural I-beams in basement for structural support; rough plumbing for sewer, water, and waste and finish for buildout of restrooms; rough and finish carpentry work including framing, insulation and drywall throughout; HVAC work including kitchen exhaust hood; rough and finish electrical work; and architectural services"
Andy Lam ,1129-33 W. Argyle St.,Lawrence/Broadway,08/27/2015,121000.00,82500.00,"masonry work, tuck-pointing, replacement of doors, storefront upgrades, installation of awning, reduce chimney height, HVAC improvements, and upgrade electrical service"
"Windy City Greens, LLC",1200 W. Cermak Rd. 2nd Floor/Ste. 210,Pilsen Industrial Corridor,08/27/2015,83167.92,41583.96,"core holes and install eleven (11) floor drains and vent pipes; install approximately 150 feet of new cast iron pipes for drains; connect new drain line into existing sewer lines and run vent pipe through the roof; furnish and install approximately 850 square feet of USDA-compliant solid epoxy flooring; furnish and install approximately 415 square feet of quartz flooring in scrub room area; grinding of approximately 16,300 square feet of main warehouse floor, repairs to damaged concrete, and installation of USDA-compliant concrete sealer"
"SKW Industries, LLC dba Progressive Coating",900 S. Cicero Ave.,Roosevelt/Cicero,08/28/2015,133687.00,66843.50,"installation of a new roofing system including insulation, a new membrane with vapor venting, new flashings, and new aluminum termination bars around the perimeter of the roof"
Scott Conway,2745 W. Armitage Ave.,Fullerton/Milwaukee,08/28/2015,6125.00,4593.75,install HVAC condenser and AC unit for commercial space and electrical work associated with HVAC improvements
"WTF Reserve, LLC",415 N. Sangamon St.,Kinzie Industrial Corridor,09/09/2015,63799.80,47287.35,masonry repairs to the façade (replace coping; new flashing; tuck point and replace brick when applicable; repair face brick and replace with color-matched brick when applicable; restore face brick mortar; install limestone panels below first floor sills); replacement of six (6) lintels; limestone panel materials
"Major Dickens, LLC",2100 N. Major Ave.,Galewood/Armitage,09/23/2015,126567.81,63283.91,"demolition work including cutting and patching; installation of new overhead LED light fixtures; replacement of exterior windows; roofing repairs; plumbing work including repairs to waste lines and new fixtures; electrical work including installation of new subpanels, service, and relocation of electrical for proper distribution for new production facility; repairs to existing and installation of new overhead dock doors; and carpentry and framing work with drywall and doors for new office space on second floor"
Joel Hall Dancers & Center,5965 N. Clark St.,Clark/Ridge,09/24/2015,21170.00,15877.50,"installation of aluminum storefront doors to be used as a barrier for extreme weather, replace base sink and faucet, install backsplash, remodeling of the bathroom to include replacement of damaged drywall, add cabinet shelving, replace glass window, lighting, install diaper stations, install electric hand dryers, painting and plaster wall repairs, electrical work to find the short circuit, remove light or disconnect circuit over drop ceiling, replace HVAC piping and reducers, and installation of ceiling fans."
"Fasttrak Auto Center, LTD",3263 W. Fullerton Ave.,Fullerton/Milwaukee,09/25/2015,31025.00,23268.75,installation of new HVAC rooftop unit (RTU) and ductwork; carpentry work to build new curb for RTU and to repair ceilings in West office; soft costs including architectural and permit fees
